Ref,Qty,Desc,Mfg,MPN
D1 D2 D3 D4 D5 D6 D7 D8,8,LED GREEN/RED DIFF T-3MM TRI T/H,Lumex Opto/Components Inc.,SSL-LX3059IGW-CA
H1 H2 H3 H4 H5,5,CONN HEADER VERT 10POS 2.54MM,Amphenol ICC (FCI),67997-210HLF
J1 J2 J3 J4 J5 J6 J7 J8 J9 J10,10,3.5MM JACK VERTICAL PCB MOUNT,Wenzhou QingPu,WQP-PJ398SM
P1 P2 P3 P5,4,POT 9MM LINEAR B10K WHITE LINE,Song Huei,"R0904N-B10K,L-25KQ/LWS"
P4 P6 P7,3,POT 9MM LINEAR B10K WHITE LINE CENTER DETENT,Song Huei,"R0904N-B10K,L-25KQ/LWS/CC"
S1 S2,2,SWITCH TACTILE SPST-NO 0.05A 12V,E-Switch,TL1105DF160Q
